Repo,underdirectory,function,status,variables
1,0,euclidean_kernel,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,1,euclidean_kernel_same,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,2,maximum_kernel,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,3,maximum_kernel_same,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,4,manhattan_kernel,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,5,manhattan_kernel_same,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,6,canberra_kernel,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,7,canberra_kernel_same,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,8,binary_kernel,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,9,binary_kernel_same,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,10,minkowski_kernel,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,11,minkowski_kernel_same,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,12,dot_kernel,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,13,dot_kernel_same,runs,"[('const float *', 'vg_a'), ('size_t', 'pitch_a'), ('size_t', 'n_a'), ('const float *', 'vg_b'), ('size_t', 'pitch_b'), ('size_t', 'n_b'), ('size_t', 'k'), ('float *', 'd'), ('size_t', 'pitch_d'), ('float', 'p')]"
1,14,getColNorms,runs,"[('int', 'rows'), ('int', 'cols'), ('float *', 'da'), ('int', 'lda'), ('float *', 'colNorms')]"
1,15,gpuFindMax,runs,"[('int', 'n'), ('float *', 'data'), ('int', 'threadWorkLoad'), ('int *', 'maxIndex')]"
1,16,gpuSwapCol,runs,"[('int', 'rows'), ('float *', 'dArray'), ('int', 'coli'), ('int *', 'dColj'), ('int *', 'dPivot')]"
1,17,makeHVector,runs,"[('int', 'rows'), ('float *', 'input'), ('float *', 'output')]"
1,18,UpdateHHNorms,runs,"[('int', 'cols'), ('float *', 'dV'), ('float *', 'dNorms')]"
1,19,gpuKendall,runs,"[('const float *', 'a'), ('size_t', 'na'), ('const float *', 'b'), ('size_t', 'nb'), ('size_t', 'sampleSize'), ('double *', 'results')]"
1,20,getRestricted,runs,"[('int', 'countx'), ('int', 'county'), ('int', 'rows'), ('int', 'cols'), ('float *', 'mX'), ('int', 'mXdim'), ('float *', 'vY'), ('int', 'vYdim'), ('float *', 'mQ'), ('int', 'mQdim'), ('float *', 'mR'), ('int', 'mRdim'), ('float *', 'vectB'), ('int', 'vectBdim')]"
1,21,getUnrestricted,runs,"[('int', 'countx'), ('int', 'county'), ('int', 'rows'), ('int', 'cols'), ('float *', 'mX'), ('int', 'mXdim'), ('float *', 'vY'), ('int', 'vYdim'), ('float *', 'mQ'), ('int', 'mQdim'), ('float *', 'mR'), ('int', 'mRdim'), ('float *', 'vectB'), ('int', 'vectBdim')]"
1,22,ftest,runs,"[('int', 'diagFlag'), ('int', 'p'), ('int', 'rows'), ('int', 'colsx'), ('int', 'colsy'), ('int', 'rCols'), ('int', 'unrCols'), ('float *', 'obs'), ('int', 'obsDim'), ('float *', 'rCoeffs'), ('int', 'rCoeffsDim'), ('float *', 'unrCoeffs'), ('int', 'unrCoeffsDim'), ('float *', 'rdata'), ('int', 'rdataDim'), ('float *', 'unrdata'), ('int', 'unrdataDim'), ('float *', 'dfStats')]"
1,36,gpuMeans,runs,"[('const float *', 'vectsA'), ('size_t', 'na'), ('const float *', 'vectsB'), ('size_t', 'nb'), ('size_t', 'dim'), ('float *', 'means'), ('float *', 'numPairs')]"
1,37,gpuSD,runs,"[('const float *', 'vectsA'), ('size_t', 'na'), ('const float *', 'vectsB'), ('size_t', 'nb'), ('size_t', 'dim'), ('const float *', 'means'), ('const float *', 'numPairs'), ('float *', 'sds')]"
1,38,gpuPMCC,runs,"[('const float *', 'vectsa'), ('size_t', 'na'), ('const float *', 'vectsb'), ('size_t', 'nb'), ('size_t', 'dim'), ('const float *', 'numPairs'), ('const float *', 'means'), ('const float *', 'sds'), ('float *', 'correlations')]"
1,39,gpuMeansNoTest,runs,"[('const float *', 'vectsA'), ('size_t', 'na'), ('const float *', 'vectsB'), ('size_t', 'nb'), ('size_t', 'dim'), ('float *', 'means'), ('float *', 'numPairs')]"
